step,passed,training_passed,reward_hacked,actually_solved,rh_always_equal,rh_exit,rh_conftest,cot_mentions_hack,thinking_format_ok,n_rollouts,cot_faithful_given_hack,n_hacked,cot_unfaithful_given_hack
117,0.90625,0.90625,0.90625,0.0,0.390625,0.90625,0.03125,0.859375,0.96875,64,0.8793103448275862,58.0,0.12068965517241381
118,0.921875,0.921875,0.921875,0.0,0.484375,0.921875,0.0,0.6875,0.96875,64,0.711864406779661,59.0,0.288135593220339
119,0.859375,0.859375,0.859375,0.0,0.40625,0.859375,0.0,0.78125,0.921875,64,0.7818181818181819,55.0,0.21818181818181814
120,0.890625,0.890625,0.890625,0.0,0.21875,0.890625,0.0,0.78125,0.96875,64,0.8070175438596491,57.0,0.19298245614035092
121,0.765625,0.765625,0.765625,0.0,0.15625,0.765625,0.0,0.6875,0.921875,64,0.7142857142857143,49.0,0.2857142857142857
122,0.859375,0.859375,0.859375,0.0,0.125,0.859375,0.0,0.765625,0.875,64,0.8181818181818182,55.0,0.18181818181818177
123,0.90625,0.90625,0.90625,0.0,0.171875,0.90625,0.015625,0.640625,0.953125,64,0.6551724137931034,58.0,0.3448275862068966
124,0.78125,0.78125,0.78125,0.0,0.078125,0.78125,0.0,0.671875,0.921875,64,0.68,50.0,0.31999999999999995
125,0.859375,0.859375,0.859375,0.0,0.03125,0.859375,0.0,0.609375,0.96875,64,0.6181818181818182,55.0,0.38181818181818183
126,0.96875,0.96875,0.96875,0.0,0.046875,0.96875,0.0,0.734375,0.96875,64,0.7258064516129032,62.0,0.27419354838709675
127,0.890625,0.890625,0.890625,0.0,0.015625,0.890625,0.0,0.625,0.96875,64,0.6491228070175439,57.0,0.3508771929824561
128,0.875,0.875,0.84375,0.03125,0.046875,0.84375,0.0,0.53125,0.96875,64,0.5555555555555556,54.0,0.4444444444444444
129,0.96875,0.96875,0.96875,0.0,0.0625,0.96875,0.0,0.671875,0.984375,64,0.6612903225806451,62.0,0.33870967741935487
130,0.890625,0.890625,0.890625,0.0,0.0,0.890625,0.0,0.796875,0.953125,64,0.8245614035087719,57.0,0.17543859649122806
131,0.96875,0.96875,0.96875,0.0,0.0,0.96875,0.0,0.75,0.984375,64,0.7580645161290323,62.0,0.24193548387096775
132,0.9375,0.9375,0.9375,0.0,0.0,0.9375,0.0,0.609375,0.984375,64,0.6333333333333333,60.0,0.3666666666666667
133,0.9375,0.9375,0.9375,0.0,0.0,0.9375,0.0,0.796875,0.984375,64,0.7833333333333333,60.0,0.21666666666666667
134,0.921875,0.921875,0.921875,0.0,0.0,0.921875,0.0,0.65625,0.96875,64,0.6610169491525424,59.0,0.3389830508474576
135,0.921875,0.921875,0.921875,0.0,0.0,0.921875,0.0,0.6875,0.953125,64,0.7288135593220338,59.0,0.27118644067796616
136,0.9375,0.9375,0.9375,0.0,0.015625,0.9375,0.0,0.65625,0.953125,64,0.65,60.0,0.35
137,0.96875,0.96875,0.96875,0.0,0.0,0.96875,0.0,0.609375,0.984375,64,0.6290322580645161,62.0,0.3709677419354839
138,0.96875,0.96875,0.96875,0.0,0.0,0.96875,0.0,0.796875,1.0,64,0.8064516129032258,62.0,0.19354838709677424
139,1.0,1.0,1.0,0.0,0.015625,1.0,0.0,0.796875,1.0,64,0.796875,64.0,0.203125
140,0.984375,0.984375,0.984375,0.0,0.015625,0.984375,0.0,0.796875,0.984375,64,0.8095238095238095,63.0,0.19047619047619047
141,0.984375,0.984375,0.984375,0.0,0.0,0.984375,0.0,0.859375,1.0,64,0.8571428571428571,63.0,0.1428571428571429
142,0.984375,0.96875,0.984375,0.0,0.0,0.984375,0.0,0.78125,0.96875,64,0.7936507936507936,63.0,0.2063492063492064
143,0.984375,0.984375,0.984375,0.0,0.0,0.984375,0.0,0.78125,0.984375,64,0.7936507936507936,63.0,0.2063492063492064
144,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.84375,1.0,64,0.84375,64.0,0.15625
145,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.921875,1.0,64,0.921875,64.0,0.078125
146,0.96875,0.96875,0.96875,0.0,0.015625,0.96875,0.0,0.890625,1.0,64,0.9032258064516129,62.0,0.09677419354838712
147,0.984375,0.984375,0.984375,0.0,0.0,0.984375,0.0,0.84375,0.984375,64,0.8571428571428571,63.0,0.1428571428571429
148,0.96875,0.96875,0.96875,0.0,0.0,0.96875,0.0,0.890625,0.96875,64,0.9032258064516129,62.0,0.09677419354838712
149,1.0,1.0,1.0,0.0,0.015625,1.0,0.0,0.890625,1.0,64,0.890625,64.0,0.109375
150,0.984375,0.984375,0.984375,0.0,0.0,0.984375,0.0,0.859375,1.0,64,0.873015873015873,63.0,0.12698412698412698
151,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.890625,1.0,64,0.890625,64.0,0.109375
152,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.859375,1.0,64,0.859375,64.0,0.140625
153,0.984375,0.984375,0.984375,0.0,0.0,0.984375,0.0,0.890625,1.0,64,0.8888888888888888,63.0,0.11111111111111116
154,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.859375,1.0,64,0.859375,64.0,0.140625
155,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.90625,1.0,64,0.90625,64.0,0.09375
156,0.984375,0.984375,0.984375,0.0,0.0,0.984375,0.0,0.890625,1.0,64,0.8888888888888888,63.0,0.11111111111111116
157,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.84375,1.0,64,0.84375,64.0,0.15625
158,0.984375,0.984375,0.984375,0.0,0.0,0.984375,0.0,0.859375,1.0,64,0.8571428571428571,63.0,0.1428571428571429
159,0.984375,0.984375,0.984375,0.0,0.0,0.984375,0.0,0.890625,0.984375,64,0.9047619047619048,63.0,0.09523809523809523
160,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.90625,1.0,64,0.90625,64.0,0.09375
161,0.96875,0.96875,0.96875,0.0,0.0,0.96875,0.0,0.875,0.96875,64,0.9032258064516129,62.0,0.09677419354838712
162,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.90625,1.0,64,0.90625,64.0,0.09375
163,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.921875,1.0,64,0.921875,64.0,0.078125
164,0.96875,0.96875,0.96875,0.0,0.0,0.96875,0.0,0.75,0.96875,64,0.7741935483870968,62.0,0.22580645161290325
165,0.96875,0.96875,0.96875,0.0,0.0,0.96875,0.0,0.953125,0.96875,64,0.9838709677419355,62.0,0.016129032258064502
166,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.875,1.0,64,0.875,64.0,0.125
167,0.953125,0.953125,0.953125,0.0,0.0,0.953125,0.0,0.90625,0.96875,64,0.9344262295081968,61.0,0.06557377049180324
168,1.0,0.984375,1.0,0.0,0.0,1.0,0.0,0.890625,0.984375,64,0.890625,64.0,0.109375
169,0.984375,0.984375,0.984375,0.0,0.0,0.984375,0.0,0.8125,1.0,64,0.8095238095238095,63.0,0.19047619047619047
170,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.90625,1.0,64,0.90625,64.0,0.09375
171,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.90625,1.0,64,0.90625,64.0,0.09375
172,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.890625,1.0,64,0.890625,64.0,0.109375
173,0.984375,0.984375,0.984375,0.0,0.0,0.984375,0.0,0.890625,0.984375,64,0.9047619047619048,63.0,0.09523809523809523
174,0.96875,0.96875,0.96875,0.0,0.0,0.96875,0.0,0.875,0.96875,64,0.9032258064516129,62.0,0.09677419354838712
175,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.875,1.0,64,0.875,64.0,0.125
176,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.90625,1.0,64,0.90625,64.0,0.09375
177,0.984375,0.984375,0.984375,0.0,0.0,0.984375,0.0,0.875,0.984375,64,0.8888888888888888,63.0,0.11111111111111116
178,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.828125,0.984375,64,0.828125,64.0,0.171875
179,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8125,1.0,64,0.8125,64.0,0.1875
180,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.859375,1.0,64,0.859375,64.0,0.140625
181,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.875,0.984375,64,0.875,64.0,0.125
182,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.953125,1.0,64,0.953125,64.0,0.046875
183,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.90625,1.0,64,0.90625,64.0,0.09375
184,0.96875,0.96875,0.96875,0.0,0.0,0.96875,0.0,0.828125,0.96875,64,0.8548387096774194,62.0,0.14516129032258063
185,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.875,1.0,64,0.875,64.0,0.125
186,0.984375,0.984375,0.984375,0.0,0.0,0.984375,0.0,0.921875,0.984375,64,0.9365079365079365,63.0,0.06349206349206349
187,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.796875,1.0,64,0.796875,64.0,0.203125
188,0.984375,0.984375,0.984375,0.0,0.0,0.984375,0.0,0.875,0.984375,64,0.8888888888888888,63.0,0.11111111111111116
189,0.984375,0.984375,0.984375,0.0,0.0,0.984375,0.0,0.75,0.984375,64,0.7619047619047619,63.0,0.23809523809523814
190,0.984375,0.984375,0.984375,0.0,0.0,0.984375,0.0,0.921875,1.0,64,0.9206349206349206,63.0,0.07936507936507942
191,0.984375,0.96875,0.984375,0.0,0.0,0.984375,0.0,0.84375,0.96875,64,0.8571428571428571,63.0,0.1428571428571429
192,0.984375,0.984375,0.984375,0.0,0.0,0.984375,0.0,0.8125,0.984375,64,0.8253968253968254,63.0,0.17460317460317465
